ADM1_NAME,ADM2_NAME,year,fire_events,total_area_ha,max_area_ha,major_fires
New South Wales,Eurobodalla (A),2016,21,4936.812388,1735.07219818,0
New South Wales,Eurobodalla (A),2017,2,0.09256098,0.06428591,0
New South Wales,Eurobodalla (A),2018,12,1310.34114932,394.22684304,0
New South Wales,Eurobodalla (A),2019,26,95685.37639187,83104.55669772,2
New South Wales,Eurobodalla (A),2020,1,14.08481792,14.08481792,0
New South Wales,Eurobodalla (A),2021,4,147.33026688,51.75834176,0
New South Wales,Eurobodalla (A),2023,11,16.38052539,10.5778418,0
New South Wales,Eurobodalla (A),2024,3,56.311651780000005,56.13029824,0
New South Wales,Eurobodalla (A),2025,6,46.095736280000004,43.69234764,0
New South Wales,Eurobodalla (A),2026,13,1089.22847363,272.9597796,0
New South Wales,Glen Innes Severn (A),1951,2,931.0260013899999,882.11780227,0
New South Wales,Glen Innes Severn (A),1953,1,60.2633471,60.2633471,0
New South Wales,Glen Innes Severn (A),1954,1,51.36166082,51.36166082,0
New South Wales,Glen Innes Severn (A),1956,1,45.31141001,45.31141001,0
New South Wales,Glen Innes Severn (A),1957,5,3675.4795381100002,2935.14595326,0
New South Wales,Glen Innes Severn (A),1958,1,85.32214528,85.32214528,0
New South Wales,Glen Innes Severn (A),1960,2,426.11716946,241.70102781,0
New South Wales,Glen Innes Severn (A),1964,1,235.65814638,235.65814638,0
New South Wales,Glen Innes Severn (A),1965,6,2155.6699384000003,802.66334253,0
New South Wales,Glen Innes Severn (A),1967,3,842.2581883299999,557.30565253,0
New South Wales,Glen Innes Severn (A),1968,6,3123.62168709,1612.68670819,0
New South Wales,Glen Innes Severn (A),1975,5,2673.6984294900003,1577.09707611,0
New South Wales,Glen Innes Severn (A),1984,3,1074.606883,796.4006462,0
New South Wales,Glen Innes Severn (A),1986,13,6154.6492864,2471.73369008,0
New South Wales,Glen Innes Severn (A),1987,1,2141.0661177,2141.0661177,0
New South Wales,Glen Innes Severn (A),1988,3,1435.8267467,800.03969745,0
New South Wales,Glen Innes Severn (A),1989,3,1938.8550431600002,1588.42650273,0
New South Wales,Glen Innes Severn (A),1990,3,1070.70158859,597.06765658,0
New South Wales,Glen Innes Severn (A),1991,8,3797.84546952,1591.26967605,0
New South Wales,Glen Innes Severn (A),1992,1,239.05001743,239.05001743,0
New South Wales,Glen Innes Severn (A),1994,2,1038.66703016,705.02563839,0
New South Wales,Glen Innes Severn (A),1995,1,170.21351029,170.21351029,0
New South Wales,Glen Innes Severn (A),1996,2,446.62024643999996,234.85757579,0
New South Wales,Glen Innes Severn (A),1997,16,3297.83306714,736.31586719,0
New South Wales,Glen Innes Severn (A),1998,16,4407.3256573300005,1222.82275542,0
New South Wales,Glen Innes Severn (A),2000,2,320.93853935,236.58429909,0
New South Wales,Glen Innes Severn (A),2001,32,5713.81442557,2488.79845303,0
New South Wales,Glen Innes Severn (A),2002,16,15499.57523324,8983.21286013,0
New South Wales,Glen Innes Severn (A),2003,7,21201.8645712,17258.40033886,1
New South Wales,Glen Innes Severn (A),2004,2,187.02322445000001,186.13873222,0
New South Wales,Glen Innes Severn (A),2005,8,6218.78450126,2315.50641101,0
New South Wales,Glen Innes Severn (A),2006,1,1030.25214333,1030.25214333,0
