ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Guyra (A),2008,11
New South Wales,Guyra (A),2009,40
New South Wales,Guyra (A),2010,6
New South Wales,Guyra (A),2011,16
New South Wales,Guyra (A),2012,4
New South Wales,Guyra (A),2013,9
New South Wales,Guyra (A),2014,6
New South Wales,Guyra (A),2015,2
New South Wales,Guyra (A),2016,3
New South Wales,Guyra (A),2017,3
New South Wales,Guyra (A),2018,3
New South Wales,Guyra (A),2019,14
New South Wales,Guyra (A),2020,50
New South Wales,Guyra (A),2021,55
New South Wales,Guyra (A),2022,49
New South Wales,Guyra (A),2023,256
New South Wales,Guyra (A),2024,37
New South Wales,Guyra (A),2025,18
New South Wales,Hawkesbury (C),1990,10
New South Wales,Hawkesbury (C),1991,16
New South Wales,Hawkesbury (C),1992,19
New South Wales,Hawkesbury (C),1993,23
New South Wales,Hawkesbury (C),1994,16
New South Wales,Hawkesbury (C),1995,21
New South Wales,Hawkesbury (C),1996,24
New South Wales,Hawkesbury (C),1997,63
New South Wales,Hawkesbury (C),1998,31
New South Wales,Hawkesbury (C),1999,39
New South Wales,Hawkesbury (C),2000,44
New South Wales,Hawkesbury (C),2001,33
New South Wales,Hawkesbury (C),2002,21
New South Wales,Hawkesbury (C),2003,27
New South Wales,Hawkesbury (C),2004,21
New South Wales,Hawkesbury (C),2005,37
New South Wales,Hawkesbury (C),2006,124
New South Wales,Hawkesbury (C),2007,86
New South Wales,Hawkesbury (C),2008,63
New South Wales,Hawkesbury (C),2009,49
New South Wales,Hawkesbury (C),2010,41
New South Wales,Hawkesbury (C),2011,50
New South Wales,Hawkesbury (C),2012,39
New South Wales,Hawkesbury (C),2013,95
New South Wales,Hawkesbury (C),2014,94
New South Wales,Hawkesbury (C),2015,65
New South Wales,Hawkesbury (C),2016,90
New South Wales,Hawkesbury (C),2017,78
New South Wales,Hawkesbury (C),2018,78
New South Wales,Hawkesbury (C),2019,74
New South Wales,Hawkesbury (C),2020,165
New South Wales,Hawkesbury (C),2021,98
New South Wales,Hawkesbury (C),2022,443
New South Wales,Hawkesbury (C),2023,4886
New South Wales,Hawkesbury (C),2024,734
New South Wales,Hawkesbury (C),2025,133
New South Wales,Hawkesbury (C),2026,14
New South Wales,Inverell (A),1990,6
New South Wales,Inverell (A),1991,9
New South Wales,Inverell (A),1992,17
New South Wales,Inverell (A),1993,11
